SYMBOL,DATE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
GRANULES,2026-03-06,EQ,570.1,587.5,569.85,577.1,578.0,573.3,691090,402058810.05,21877,INE101D01020
GRASIM,2026-03-06,EQ,2701.5,2759.4,2687.2,2718.4,2718.0,2724.1,1457401,3986794701.1,53131,INE047A01021
GSFC,2026-03-06,EQ,157.95,160.53,157.0,157.34,157.24,157.24,786719,124688895.95,12629,INE026A01025
GSPL,2026-03-06,EQ,290.1,296.75,288.35,293.9,293.0,290.05,690988,202807418.55,22460,INE246F01010
GUJGASLTD,2026-03-06,EQ,393.0,400.9,390.65,395.65,394.5,397.15,558679,221374351.45,13804,INE844O01030
HAL,2026-03-06,EQ,3880.0,4039.7,3855.0,4023.7,4030.0,3891.8,2974581,11808214585.2,134091,INE066F01020
HAVELLS,2026-03-06,EQ,1352.5,1365.0,1340.3,1349.2,1351.0,1352.5,489820,664245777.6,31546,INE176B01034
HCC,2026-03-06,EQ,16.35,16.69,15.9,16.01,16.1,16.27,22356076,363789156.2,17552,INE549A01026
HCLTECH,2026-03-06,EQ,1356.0,1380.8,1354.2,1356.7,1358.0,1354.1,1871596,2552957099.2,74907,INE860A01027
HDFCAMC,2026-03-06,EQ,2559.1,2559.2,2495.2,2503.8,2511.0,2559.0,689587,1737775474.3,49625,INE127D01025
HDFCBANK,2026-03-06,EQ,868.05,871.7,855.1,857.05,857.2,877.75,34439647,29704205809.35,706964,INE040A01034
HDFCLIFE,2026-03-06,EQ,677.6,679.2,667.95,668.55,669.0,684.3,2997163,2011593765.85,106013,INE795G01014
HEROMOTOCO,2026-03-06,EQ,5571.0,5571.5,5490.0,5512.5,5520.0,5588.5,431008,2380632219.5,52316,INE158A01026
HFCL,2026-03-06,EQ,69.38,71.1,69.1,69.64,69.32,70.08,13018974,912975794.55,35188,INE548A01028
HINDALCO,2026-03-06,EQ,955.0,971.65,943.15,958.9,960.6,954.95,8295000,7954762064.05,356279,INE038A01020
HINDCOPPER,2026-03-06,EQ,558.25,564.4,553.4,558.6,559.0,558.0,6695386,3743329030.2,76986,INE531E01026
HINDPETRO,2026-03-06,EQ,420.0,420.0,402.1,404.95,405.25,418.4,7196619,2956509500.65,128204,INE094A01015
HINDUNILVR,2026-03-06,EQ,2245.1,2250.0,2219.5,2225.7,2223.1,2255.0,1674258,3732836889.5,134825,INE030A01027
HINDZINC,2026-03-06,EQ,595.0,596.8,585.2,586.85,586.95,595.65,2899680,1714785430.15,43281,INE267A01025
HONAUT,2026-03-06,EQ,29995.0,30105.0,29870.0,29965.0,30000.0,29945.0,28930,866933085.0,1396,INE671A01010
HUDCO,2026-03-06,EQ,177.16,182.16,175.6,176.29,176.5,178.27,2905206,519332923.1,25131,INE031A01017
ICICIBANK,2026-03-06,EQ,1339.0,1357.6,1310.4,1313.4,1315.1,1357.6,22778852,30132894838.8,396209,INE090A01021
ICICIGI,2026-03-06,EQ,1866.0,1890.1,1856.2,1880.3,1878.5,1875.2,361444,678852607.4,22328,INE765G01017
ICICIPRULI,2026-03-06,EQ,620.75,624.4,610.1,614.05,614.85,627.45,901309,555067074.15,33544,INE726G01019
ICIL,2026-03-06,EQ,255.0,265.95,255.0,261.1,262.3,260.25,176417,46104390.65,4120,INE483B01026
IDBI,2026-03-06,EQ,110.0,110.35,108.37,108.89,108.47,110.24,9546734,1042933007.48,27130,INE008A01015
